sigma,distance,k,epsilon,validation_accuracy_mean,validation_macro_f1_mean,test_accuracy_mean,test_macro_f1_mean,flip_rate_mean,class_one_rate_mean,validation_similarity_score_mean,test_similarity_score_mean
0.5,1.0,10,0.21,0.9929929929929929,0.9929907892889541,0.9939939939939939,0.9939933980857908,0.004007614450529218,0.5065624713897705,0.49849539633750756,0.618779266266395
1.5,3.0,10,0.21,0.9929929929929929,0.9929907892889541,0.9939939939939939,0.9939933980857908,0.004007614450529218,0.5065624713897705,0.49849539633750756,0.618779266266395
1.0,2.0,10,0.05,0.995995995995996,0.9959949303668977,0.9979979979979979,0.9979976368089951,0.001102093995238344,0.506662646929423,0.5105096844994005,0.6347957517208115
0.5,1.0,10,0.05,0.995995995995996,0.9959949303668977,0.9979979979979979,0.9979976368089951,0.001102093995238344,0.506662646929423,0.5105096844994005,0.6347957517208115
1.5,3.0,10,0.05,0.995995995995996,0.9959949303668977,0.9979979979979979,0.9979976368089951,0.001102093995238344,0.506662646929423,0.5105096844994005,0.6347957517208115
1.5,3.0,5,0.11,0.995995995995996,0.9959955625879552,0.9969969969969968,0.9969962204630277,0.0031059011816978455,0.5068630377451578,0.5105109489415157,0.630790917026875
1.5,3.0,5,0.21,0.995995995995996,0.9959955625879552,0.9969969969969968,0.9969962204630277,0.0031059011816978455,0.5068630377451578,0.5105109489415157,0.630790917026875
0.5,1.0,5,0.21,0.995995995995996,0.9959955625879552,0.9969969969969968,0.9969962204630277,0.0031059011816978455,0.5068630377451578,0.5105109489415157,0.630790917026875
0.5,1.0,5,0.11,0.995995995995996,0.9959955625879552,0.9969969969969968,0.9969962204630277,0.0031059011816978455,0.5068630377451578,0.5105109489415157,0.630790917026875
1.0,2.0,5,0.21,0.995995995995996,0.9959955625879552,0.9969969969969968,0.9969962204630277,0.0031059011816978455,0.5068630377451578,0.5105109489415157,0.630790917026875
1.0,2.0,5,0.11,0.995995995995996,0.9959955625879552,0.9969969969969968,0.9969962204630277,0.0031059011816978455,0.5068630377451578,0.5105109489415157,0.630790917026875
1.5,3.0,10,0.11,0.9969969969969968,0.9969963107285101,0.9979979979979979,0.997997672918514,0.00310590125930806,0.5068630377451578,0.5145144472246274,0.6347958239398493
0.5,1.0,10,0.11,0.9969969969969968,0.9969963107285101,0.9979979979979979,0.997997672918514,0.00310590125930806,0.5068630377451578,0.5145144472246274,0.6347958239398493
1.0,2.0,10,0.11,0.9969969969969968,0.9969963107285101,0.9979979979979979,0.997997672918514,0.00310590125930806,0.5068630377451578,0.5145144472246274,0.6347958239398493
0.5,1.0,5,0.05,0.9969969969969971,0.9969965094173506,0.995995995995996,0.995995327782757,0.0,0.5067628423372904,0.5145148446023082,0.6267871296643315
1.5,3.0,3,0.11,0.9969969969969971,0.9969965094173506,0.995995995995996,0.995995327782757,0.0,0.5067628423372904,0.5145148446023082,0.6267871296643315
1.0,2.0,3,0.05,0.9969969969969971,0.9969965094173506,0.995995995995996,0.995995327782757,0.0,0.5067628423372904,0.5145148446023082,0.6267871296643315
1.0,2.0,3,0.11,0.9969969969969971,0.9969965094173506,0.995995995995996,0.995995327782757,0.0,0.5067628423372904,0.5145148446023082,0.6267871296643315
0.5,1.0,3,0.11,0.9969969969969971,0.9969965094173506,0.995995995995996,0.995995327782757,0.0,0.5067628423372904,0.5145148446023082,0.6267871296643315
1.5,3.0,5,0.05,0.9969969969969971,0.9969965094173506,0.995995995995996,0.995995327782757,0.0,0.5067628423372904,0.5145148446023082,0.6267871296643315
1.5,3.0,3,0.05,0.9969969969969971,0.9969965094173506,0.995995995995996,0.995995327782757,0.0,0.5067628423372904,0.5145148446023082,0.6267871296643315
1.0,2.0,5,0.05,0.9969969969969971,0.9969965094173506,0.995995995995996,0.995995327782757,0.0,0.5067628423372904,0.5145148446023082,0.6267871296643315
0.5,1.0,3,0.05,0.9969969969969971,0.9969965094173506,0.995995995995996,0.995995327782757,0.0,0.5067628423372904,0.5145148446023082,0.6267871296643315
0.5,3.0,10,0.11,1.0,1.0,1.0,1.0,0.0,0.5067628423372904,0.5265278317736132,0.6428044821068254
0.5,3.0,10,0.05,1.0,1.0,1.0,1.0,0.0,0.5067628423372904,0.5265278317736132,0.6428044821068254
1.0,3.0,3,0.05,1.0,1.0,1.0,1.0,0.0,0.5067628423372904,0.5265278317736132,0.6428044821068254
1.0,3.0,3,0.11,1.0,1.0,1.0,1.0,0.0,0.5067628423372904,0.5265278317736132,0.6428044821068254
1.0,3.0,3,0.21,1.0,1.0,1.0,1.0,0.0,0.5067628423372904,0.5265278317736132,0.6428044821068254
0.5,3.0,10,0.21,1.0,1.0,1.0,1.0,0.0,0.5067628423372904,0.5265278317736132,0.6428044821068254
1.0,3.0,5,0.11,1.0,1.0,1.0,1.0,0.0,0.5067628423372904,0.5265278317736132,0.6428044821068254
1.0,3.0,5,0.21,1.0,1.0,1.0,1.0,0.0,0.5067628423372904,0.5265278317736132,0.6428044821068254
1.0,3.0,10,0.05,1.0,1.0,1.0,1.0,0.0,0.5067628423372904,0.5265278317736132,0.6428044821068254
1.0,3.0,10,0.11,1.0,1.0,1.0,1.0,0.0,0.5067628423372904,0.5265278317736132,0.6428044821068254
1.0,3.0,10,0.21,1.0,1.0,1.0,1.0,0.0,0.5067628423372904,0.5265278317736132,0.6428044821068254
0.5,3.0,3,0.05,1.0,1.0,1.0,1.0,0.0,0.5067628423372904,0.5265278317736132,0.6428044821068254
0.5,2.0,10,0.11,1.0,1.0,1.0,1.0,0.0,0.5067628423372904,0.5265278317736132,0.6428044821068254
1.0,3.0,5,0.05,1.0,1.0,1.0,1.0,0.0,0.5067628423372904,0.5265278317736132,0.6428044821068254
0.5,2.0,5,0.05,1.0,1.0,1.0,1.0,0.0,0.5067628423372904,0.5265278317736132,0.6428044821068254
0.5,2.0,3,0.05,1.0,1.0,1.0,1.0,0.0,0.5067628423372904,0.5265278317736132,0.6428044821068254
0.5,2.0,3,0.11,1.0,1.0,1.0,1.0,0.0,0.5067628423372904,0.5265278317736132,0.6428044821068254
0.5,2.0,10,0.21,1.0,1.0,1.0,1.0,0.0,0.5067628423372904,0.5265278317736132,0.6428044821068254
0.5,3.0,5,0.05,1.0,1.0,1.0,1.0,0.0,0.5067628423372904,0.5265278317736132,0.6428044821068254
0.5,3.0,3,0.21,1.0,1.0,1.0,1.0,0.0,0.5067628423372904,0.5265278317736132,0.6428044821068254
0.5,3.0,5,0.11,1.0,1.0,1.0,1.0,0.0,0.5067628423372904,0.5265278317736132,0.6428044821068254
0.5,3.0,3,0.11,1.0,1.0,1.0,1.0,0.0,0.5067628423372904,0.5265278317736132,0.6428044821068254
0.5,2.0,5,0.21,1.0,1.0,1.0,1.0,0.0,0.5067628423372904,0.5265278317736132,0.6428044821068254
0.5,2.0,5,0.11,1.0,1.0,1.0,1.0,0.0,0.5067628423372904,0.5265278317736132,0.6428044821068254
0.5,2.0,10,0.05,1.0,1.0,1.0,1.0,0.0,0.5067628423372904,0.5265278317736132,0.6428044821068254
0.5,2.0,3,0.21,1.0,1.0,1.0,1.0,0.0,0.5067628423372904,0.5265278317736132,0.6428044821068254
0.5,3.0,5,0.21,1.0,1.0,1.0,1.0,0.0,0.5067628423372904,0.5265278317736132,0.6428044821068254
1.5,1.0,5,0.11,0.7267267267267267,0.7264797571932592,0.7107107107107108,0.7105342092975585,0.2586915095647176,0.4999499022960663,0.567059200386415,0.514705677876636
1.5,1.0,5,0.21,0.7267267267267267,0.7264797571932592,0.7107107107107108,0.7105342092975585,0.2586915095647176,0.4999499022960663,0.567059200386415,0.514705677876636
1.5,1.0,10,0.21,0.6916916916916916,0.691578883506038,0.6776776776776777,0.6776657611700675,0.3692014813423157,0.48882877826690674,0.7069310178309274,0.6465086401976844
1.5,1.0,3,0.21,0.6096096096096096,0.6094457686553517,0.6256256256256257,0.625392292379014,0.4260094165802002,0.5009518166383108,1.0353614116964642,0.8551596818838956
